author,updated_at,like_count,text,video_id,public
@user-tt2rb4ny5k,2024-04-08T09:26:20Z,0,Pitbull,cQOq2Ih36EU,True
@lordt7945,2024-04-08T09:23:00Z,0,O dear rolling around on wheels 😂😂😂😂😂,cQOq2Ih36EU,True
@achumouzamaki6445,2024-04-08T09:04:00Z,0,hahahaha Romero is a funny dude .The thing is that Romero will still think that he fought than cruz,cQOq2Ih36EU,True
@pistos5253,2024-04-08T08:39:17Z,1,People with Down syndrome are allowed to compete in boxing??,cQOq2Ih36EU,True
@kncthesecond9479,2024-04-08T07:53:02Z,0,Fcken I should’ve bet on this I already knew Cruz was taking the W,cQOq2Ih36EU,True
@steffenrasmussen8322,2024-04-08T07:27:09Z,0,"Cruz vs Haney, would be tailormade for Cruz 🔥",cQOq2Ih36EU,True
@joeymedina7115,2024-04-08T07:00:16Z,1,lets not forget pitbull was robbed against tank,cQOq2Ih36EU,True
@caesars.3261,2024-04-08T06:47:59Z,0,I’ve been a fan of Cruz ever since he fought Tank and got robbed by him. I saw the full fight and Tank got so lucky. Ever since that fight I noticed Pitbull Cruz wanted to end his next fights by KO as fast as possible. That way the judges can’t rob him no more. I can’t wait for him to gain his revenge 🔥🔥🤩,cQOq2Ih36EU,True
@dbowhype348,2024-04-08T05:27:06Z,0,"For those who love Premier Boxing Champions, the cryptocurrency $YGG [YGG Coin] is going UP right NOW and could have LIMITLESS money for all people here RIGHT NOW!",cQOq2Ih36EU,True
@Elcapulove,2024-04-08T05:24:23Z,0,VIVA 🇲🇽♥️From 🇵🇷,cQOq2Ih36EU,True
@sassiferkweefus1327,2024-04-08T05:04:43Z,0,Had that boy runnin all fight 😭😭😭😭😭😭😭😭😭😭 I’d sit down after that one,cQOq2Ih36EU,True
@EduardoHernandez-di8kl,2024-04-08T04:45:58Z,0,❤ love it 😊nice work!!👏🏻👍,cQOq2Ih36EU,True
@JefferyJohnson-od1mm,2024-04-08T04:29:21Z,0,Rollie is one of the worst boxing in business 😢😢,cQOq2Ih36EU,True
@user-ss4rf7mp2l,2024-04-08T03:10:55Z,0,Rolley got rolled 😂😂💪💪 well done Pitbull,cQOq2Ih36EU,True
@lakersin556,2024-04-08T02:49:50Z,0,He never recovered after getting hit by a Tank. (Davis),cQOq2Ih36EU,True
@circleoffadz6975,2024-04-08T02:47:17Z,0,Good luck davis !!!,cQOq2Ih36EU,True
@Darkpanther18Ell,2024-04-08T02:36:54Z,0,This guy is a legend already every punch is dealt with the intention to hurt and he just has that never say die attitude love it,cQOq2Ih36EU,True
@efrengrullon7347,2024-04-08T01:26:00Z,0,Maybe he learned how to be humble. Got his ass whoops,cQOq2Ih36EU,True
@Roadrunner65553,2024-04-08T01:01:15Z,0,Wow. Rolly really got beat up. He had ZERO counter left hook.,cQOq2Ih36EU,True
