author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@andreseduardoquintero,2024-03-31T13:44:05Z,0,El pitbull merece eso y mas🎉🎉🎉❤❤❤,True,El pitbull merece eso y mas❤❤❤,pitbul merec ma,es
@JG303KING,2024-03-31T13:43:46Z,0,lol 😂,True,lol ,lol,es
@omaraguilar8234,2024-03-31T13:42:27Z,1,"Felicidades 🎉🎉 pitbull Cruz, arriba Méxicooo!!",True,"Felicidades  pitbull Cruz, arriba Méxicooo!!",felicidad pitbul cruz arriba méxicooo,es
@elgagito5660,2024-03-31T13:41:50Z,0,"Porque lo detiene alv
Era para caer fak",True,"Porque lo detiene alv
Era para caer fak",detien alv caer fak,es
@guiglianorodrigogarcia8146,2024-03-31T13:41:48Z,0,Pitbull cruz maidana 🔥 no veo un luchador así desde el chino maidana 🇲🇽👊🏾,True,Pitbull cruz maidana  no veo un luchador así desde el chino maidana ,pitbul cruz maidana veo luchador así chino maidana,es
@frankarciniega7817,2024-03-31T13:39:56Z,0,"El pitt bull cruz es un perro para pelear, Felicidades Campeón.",True,"El pitt bull cruz es un perro para pelear, Felicidades Campeón.",pitt bull cruz perro pelear felicidad campeón,es
@f4ctraining980,2024-03-31T13:38:22Z,0,"Cruz un hombre humilde, trabajador de familia. Todo lo que representa nuestros queridos hermanos Mexicanos en casi su totalidad. Todos tenemos de todo pero algunos tienen más y otros menos. 30 años viajando al País Azteca tengo solo grandes experiencias con pugilistas que trabajan para ganar así . Felicidades Pitbull Cruz",True,"Cruz un hombre humilde, trabajador de familia. Todo lo que representa nuestros queridos hermanos Mexicanos en casi su totalidad. Todos tenemos de todo pero algunos tienen más y otros menos. 30 años viajando al País Azteca tengo solo grandes experiencias con pugilistas que trabajan para ganar así . Felicidades Pitbull Cruz",cruz hombr humild trabajador familia representa querido hermano mexicano casi totalidad meno 30 año viajando paí azteca solo grand experiencia pugilista trabajan ganar así felicidad pitbul cruz,es
@JosePerez-so5fh,2024-03-31T13:38:04Z,0,"Donde esta el Chihuahua, eso les pasa alos abladores ofendiste al pueblo mexicano y cuando se ase eso es como prenderle un cartucho de dinamita a un mexicano , recibió lo que se merecía x ablador y soberbio,",True,"Donde esta el Chihuahua, eso les pasa alos abladores ofendiste al pueblo mexicano y cuando se ase eso es como prenderle un cartucho de dinamita a un mexicano , recibió lo que se merecía x ablador y soberbio,",chihuahua pasa alo ablador ofendist pueblo mexicano ase prenderl cartucho dinamita mexicano recibió merecía x ablador soberbio,es
@joaquinaaguilar2321,2024-03-31T13:38:01Z,0,Si no se lo quitan lo despedaza!!!!,True,Si no se lo quitan lo despedaza!!!!,si quitan despedaza,es
@luiszaldivar5967,2024-03-31T13:36:33Z,0,Soy de honduras pero viva mexico 🫡,True,Soy de honduras pero viva mexico 🫡,hondura viva mexico,es
@robertogarza1957,2024-03-31T13:36:09Z,0,"Este si es mi campeón, Cruz si representa a los mexicanos 😢 no como la doña canelo Álvarez vergüenza nacional…. Pitbull ❤",True,"Este si es mi campeón, Cruz si representa a los mexicanos  no como la doña canelo Álvarez vergüenza nacional…. Pitbull ❤",si campeón cruz si representa mexicano doña canelo álvarez vergüenza nacion pitbul,es
