author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@user-si8hb5nm2n,2024-03-31T04:50:52Z,0,"Congratulations PITBULL!! well deserve win! you've shown that PITBULL won't let go its prey once it sets its eyes on it.
T-Rolly thinks that he can go toe to toe with you SMH,  and BTW seeing on this highlight you gritting your teeth while throwing those bombs ""GOOD LORD!""
makes me think that you really wanna kill ROLLY!",True,"Congratulations PITBULL!! well deserve win! you've shown that PITBULL won't let go its prey once it sets its eyes on it.
T-Rolly thinks that he can go toe to toe with you SMH,  and BTW seeing on this highlight you gritting your teeth while throwing those bombs ""GOOD LORD!""
makes me think that you really wanna kill ROLLY!",congratul pitbul well deserv win youv shown pitbul wont let go prey set eye trolli think go toe toe smh btw see highlight grit teeth throw bomb good lord make think realli wanna kill rolli,en
@tkondja,2024-03-31T04:50:37Z,0,Homie went chicken mode from round one 😂,True,Homie went chicken mode from round one ,homi went chicken mode round one,en
@happybrownmonkey,2024-03-31T04:50:34Z,30,That ‘Chihuahua’ as what Romero called Isaac Cruz turned Romero into a Rag Doll 😂,True,That ‘Chihuahua’ as what Romero called Isaac Cruz turned Romero into a Rag Doll ,chihuahua romero call isaac cruz turn romero rag doll,en
@baladoxsgarp5478,2024-03-31T04:50:34Z,0,Pitbull vs inoue inoue will run hahaha coward turtle fake champion,True,Pitbull vs inoue inoue will run hahaha coward turtle fake champion,pitbul v inou inou run hahaha coward turtl fake champion,en
@NaNa-zb1sw,2024-03-31T04:50:26Z,0,Cruz🏅. Rolly always leaves his left side open. Rolly needs to get a solid team around him . That's another thing that's hurting him.,True,Cruz. Rolly always leaves his left side open. Rolly needs to get a solid team around him . That's another thing that's hurting him.,cruz rolli alway leaf left side open rolli need get solid team around that anoth thing that hurt,en
@THEDONDIEZ,2024-03-31T04:50:22Z,0,"No excuses rolly got his ass whooped but he needs to retire, I don’t know if it’s what teo was talking about referring to his spine or back but he is not right, it’s either his back or knees he doesn’t stand correctly look he’s kinda like bending in a position off the rip like he’s injured he needs to go ahead and wrap it up good run you dared to be great!",True,"No excuses rolly got his ass whooped but he needs to retire, I don’t know if it’s what teo was talking about referring to his spine or back but he is not right, it’s either his back or knees he doesn’t stand correctly look he’s kinda like bending in a position off the rip like he’s injured he needs to go ahead and wrap it up good run you dared to be great!",excus rolli got as whoop need retir know teo talk refer spine back right either back knee stand correctli look kinda like bend posit rip like injur need go ahead wrap good run dare great,en
@jakebaguioboy4369,2024-03-31T04:50:16Z,0,Glass chin,True,Glass chin,glass chin,en
@fongbrandon,2024-03-31T04:50:00Z,0,"OfficialHanchoBoxing has another entry in his ""Curb your clout"" series.",True,"OfficialHanchoBoxing has another entry in his ""Curb your clout"" series.",officialhanchobox anoth entri curb clout seri,en
@oscarlucia7094,2024-03-31T04:49:59Z,0,Litle Tyson,True,Litle Tyson,litl tyson,en
@TwistedBladeZ,2024-03-31T04:49:53Z,0,What a highlights round 1 and then round 8..,True,What a highlights round 1 and then round 8..,highlight round 1 round 8,en
@Mumluver,2024-03-31T04:49:45Z,1,Should off stopped the fight early tbh,True,Should off stopped the fight early tbh,stop fight earli tbh,en
@Whodat444,2024-03-31T04:49:43Z,1,Dolly got sauced up like some ribs got doggy,True,Dolly got sauced up like some ribs got doggy,dolli got sauc like rib got doggi,en
